City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
80,Pascagoula,US,77.05,overcast clouds,30.3658,-88.5561,Regency Inn
82,Jamestown,US,48.52,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
83,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
84,Kiama,AU,64.38,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
85,Grand Gaube,MU,75.6,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
86,Bethel,US,55.58,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
87,San Julian,MX,85.73,clear sky,21.0167,-102.1667,La Nueva España
88,Najran,SA,68.65,clear sky,17.4924,44.1277,محمد هادي ال فطيح
90,Ngunguru,NZ,66.18,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
91,Kruisfontein,ZA,60.89,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
92,Garwolin,PL,35.71,overcast clouds,51.8975,21.6147,Hotel & Restauracja Sulbin
93,Haverfordwest,GB,41.05,clear sky,51.8017,-4.9691,Coastal Cottages of Pembrokeshire
94,Mangan,IN,70.03,overcast clouds,27.5167,88.5333,Hotel Mout View
95,Geraldton,AU,73.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
96,Qaanaaq,GL,12.52,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
97,Roald,NO,39.16,light rain,62.5833,6.1333,Flem Cabins
98,Cap Malheureux,MU,74.46,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
99,Flin Flon,CA,28.24,scattered clouds,54.7682,-101.865,Victoria Inn Flin Flon
100,Bengkulu,ID,75.33,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
101,Mata,PT,39.4,scattered clouds,40.683,-7.4592,Hostel EntryFik
102,Ayr,GB,39.18,few clouds,55.4627,-4.6339,Mercure Ayr Hotel
103,Pacific Grove,US,70.39,clear sky,36.6177,-121.9166,Lovers Point Inn
104,Ponta Do Sol,PT,63.01,overcast clouds,32.6667,-17.1,Hotel do Campo
105,Haines Junction,CA,39.15,overcast clouds,60.7522,-137.5108,Parkside Inn
106,Aswan,EG,88.9,clear sky,24.0934,32.907,Nuba Nile
107,Waddan,LY,74.79,broken clouds,29.1614,16.139,محل الشريف محمد العايب
108,Butaritari,KI,81.52,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
109,Rio Gallegos,AR,51.85,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
110,Bambous Virieux,MU,75.45,moderate rain,-20.3428,57.7575,Casa Tia Villa
111,Hermanus,ZA,62.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
112,New Norfolk,AU,54.9,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
113,Yongan,CN,37.18,few clouds,39.6957,113.6871,Beiyue International Hotel
114,Camacha,PT,58.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
116,Cape Town,ZA,65.26,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
117,Mount Gambier,AU,53.51,overcast clouds,-37.8333,140.7667,The Commodore
119,Valparaiso,CL,60.44,mist,-33.0393,-71.6273,Hotel Ultramar
121,Kloulklubed,PW,75.7,broken clouds,7.0419,134.2556,Storyboard Beach Resort
122,Kochevo,RU,21.81,overcast clouds,59.5994,54.3125,Hotel/Гостиница
123,Hailey,US,53.46,clear sky,43.5196,-114.3153,Wood River Inn & Suites
124,Touros,BR,80.42,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
125,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
126,Hami,CN,51.82,broken clouds,42.8,93.45,Laoyutang Resort
128,Butler,US,51.67,overcast clouds,39.4501,-84.5666,The Lodge Activity Center
129,Bonavista,CA,36.16,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
130,Ruteng,ID,60.55,few clouds,-8.6136,120.4721,Hotel FX 72
131,El Alto,PE,82.06,broken clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
132,Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
133,Northam,GB,40.39,few clouds,51.0333,-4.2167,Durrant House Hotel
134,Dauphin,CA,33.94,overcast clouds,51.1494,-100.0502,Canway Inn & Suites
135,Iquitos,PE,73.44,overcast clouds,-3.7481,-73.2472,Cortez Malaga Techy Caroly
136,Fortuna,US,61.86,clear sky,40.5982,-124.1573,Super 8 by Wyndham Fortuna
137,Ilebo,CD,68.5,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
138,Mabaruma,GY,76.28,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
