City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Sitka,US,2022-03-30 01:35:17,57.0531,-135.33,46.29,53,100,18.41
59,Henties Bay,NA,2022-03-30 01:35:18,-22.116,14.2845,62.49,87,2,6.51
60,Tessalit,ML,2022-03-30 01:33:33,20.1986,1.0114,78.93,6,21,11.74
61,Caravelas,BR,2022-03-30 01:31:27,-17.7125,-39.2481,75.61,83,10,3.91
62,Geraldton,AU,2022-03-30 01:35:20,-28.7667,114.6,79.21,73,100,18.41
63,Port Elizabeth,ZA,2022-03-30 01:35:21,-33.918,25.5701,65.32,78,20,11.5
64,Iwanai,JP,2022-03-30 01:35:22,42.9744,140.5089,43.3,91,100,11.12
65,Kaitangata,NZ,2022-03-30 01:35:22,-46.2817,169.8464,65.32,67,0,6.02
66,Taoudenni,ML,2022-03-30 01:35:23,22.6783,-3.9836,83.97,26,100,9.33
67,Lorengau,PG,2022-03-30 01:35:24,-2.0226,147.2712,85.46,72,85,15.23
68,Lerwick,GB,2022-03-30 01:35:25,60.1545,-1.1494,32.0,64,67,18.37
69,Thinadhoo,MV,2022-03-30 01:35:25,0.5333,72.9333,81.63,70,0,4.72
70,Saint-Philippe,RE,2022-03-30 01:35:26,-21.3585,55.7679,76.59,86,100,16.87
71,Mitsamiouli,KM,2022-03-30 01:35:27,-11.3847,43.2844,81.5,77,94,11.16
72,Vitim,RU,2022-03-30 01:35:28,59.4511,112.5578,21.36,89,100,10.07
73,Goleniow,PL,2022-03-30 01:35:28,53.5639,14.8285,41.49,80,0,3.44
74,Pergine Valsugana,IT,2022-03-30 01:35:29,46.065,11.238,48.97,75,0,8.05
75,Nioro,GM,2022-03-30 01:35:30,13.35,-15.75,81.0,30,2,12.03
76,Chuy,UY,2022-03-30 01:35:30,-33.6971,-53.4616,68.0,93,100,12.01
77,Castro,BR,2022-03-30 01:31:31,-24.7911,-50.0119,63.14,90,17,2.66
78,Laguna,US,2022-03-30 01:35:31,38.421,-121.4238,70.39,63,0,12.66
79,Saint George,US,2022-03-30 01:35:32,37.1041,-113.5841,56.62,72,40,4.61
80,Havelock,US,2022-03-30 01:35:24,34.8791,-76.9013,46.94,72,0,4.61
81,Bismil,TR,2022-03-30 01:35:33,37.8486,40.6658,42.91,63,100,1.05
82,Macau,MO,2022-03-30 01:35:34,22.2006,113.5461,75.0,88,40,8.05
83,Ugoofaaru,MV,2022-03-30 01:35:35,5.6667,73.0,81.99,73,4,3.38
84,Tuatapere,NZ,2022-03-30 01:35:35,-46.1333,167.6833,69.89,56,5,4.05
85,Dudinka,RU,2022-03-30 01:35:36,69.4058,86.1778,27.63,96,100,15.21
86,Khatanga,RU,2022-03-30 01:35:37,71.9667,102.5,-5.39,93,99,5.12
87,Saurimo,AO,2022-03-30 01:35:37,-9.6608,20.3916,65.16,99,100,4.03
88,Alice Springs,AU,2022-03-30 01:31:14,-23.7,133.8833,85.55,20,15,10.36
89,Sangar,RU,2022-03-30 01:35:38,63.9242,127.4739,14.65,86,100,11.01
90,Katsuura,JP,2022-03-30 01:35:39,35.1333,140.3,60.94,81,97,13.38
91,Staryy Nadym,RU,2022-03-30 01:35:40,65.6118,72.6842,29.95,97,100,15.01
92,Lewistown,US,2022-03-30 01:35:32,40.5992,-77.5714,36.81,41,0,5.75
93,Bakel,SN,2022-03-30 01:36:41,14.905,-12.4568,86.76,28,16,15.7
94,Santa Rosa,PH,2022-03-30 01:34:32,14.3122,121.1114,88.11,65,100,15.97
95,Kapaa,US,2022-03-30 01:36:42,22.0752,-159.319,80.58,75,20,9.22
96,Ayan,RU,2022-03-30 01:36:43,56.45,138.1667,26.47,53,21,1.77
97,Okrika,NG,2022-03-30 01:36:43,4.7416,7.0849,80.17,85,87,3.67
98,Dali,CN,2022-03-30 01:36:44,25.7,100.1833,63.48,53,5,4.34
99,Otjiwarongo,NA,2022-03-30 01:36:45,-20.4637,16.6477,65.03,75,94,6.78
100,Santa Cruz De Tenerife,ES,2022-03-30 01:36:45,28.4682,-16.2546,64.72,93,100,9.22
101,Cap Malheureux,MU,2022-03-30 01:36:46,-19.9842,57.6142,75.47,77,0,3.0
102,Bafoulabe,ML,2022-03-30 01:36:47,13.8065,-10.8321,91.06,14,2,1.14
103,Souillac,MU,2022-03-30 01:36:47,-20.5167,57.5167,75.58,88,40,1.14
104,Hami,CN,2022-03-30 01:36:48,42.8,93.45,49.5,25,72,6.64
105,Vaini,TO,2022-03-30 01:36:49,-21.2,-175.2,82.56,74,20,9.22
106,Flinders,AU,2022-03-30 01:36:50,-34.5833,150.8552,73.18,86,100,8.99
107,Nong Kung Si,TH,2022-03-30 01:36:50,16.65,103.3,82.81,99,8,4.27
108,Hirara,JP,2022-03-30 01:36:51,24.8,125.2833,75.47,94,75,18.41
109,Salalah,OM,2022-03-30 01:36:52,17.0151,54.0924,84.29,14,0,8.05
110,Palauig,PH,2022-03-30 01:36:53,15.435,119.9045,88.14,55,85,2.57
111,Kedrovyy,RU,2022-03-30 01:36:53,56.1667,91.8167,23.41,82,90,4.38
112,Aksu,CN,2022-03-30 01:36:54,41.1231,80.2644,46.24,65,0,6.17
113,Svetlogorsk,BY,2022-03-30 01:36:55,52.6333,29.7333,35.55,71,100,4.47
114,Leshukonskoye,RU,2022-03-30 01:36:55,64.8989,45.7622,9.54,95,54,5.79
115,Acapulco,MX,2022-03-30 01:33:44,16.8634,-99.8901,80.42,61,0,8.05
116,Osypenko,UA,2022-03-30 01:36:57,46.9136,36.8253,42.66,91,100,8.88
117,Severo-Kurilsk,RU,2022-03-30 01:36:57,50.6789,156.125,30.94,70,100,1.97
118,Arman,RU,2022-03-30 01:36:58,59.7,150.1667,23.02,64,100,7.49
119,Kontagora,NG,2022-03-30 01:36:59,10.3999,5.4695,77.27,13,9,4.36
120,Kampong Thum,KH,2022-03-30 01:33:23,12.7111,104.8887,84.69,64,45,5.48
121,Maceio,BR,2022-03-30 01:37:00,-9.6658,-35.7353,76.44,88,20,4.61
122,Kangaatsiaq,GL,2022-03-30 01:37:01,68.3065,-53.4641,9.05,99,90,5.08
123,Klaksvik,FO,2022-03-30 01:37:02,62.2266,-6.589,32.92,49,100,26.69
124,Kimbe,PG,2022-03-30 01:37:02,-5.5502,150.1429,87.12,65,45,6.6
125,Port Blair,IN,2022-03-30 01:37:03,11.6667,92.75,82.44,83,20,2.3
126,Nantucket,US,2022-03-30 01:34:26,41.2835,-70.0995,37.51,39,0,17.27
127,Jacksonville Beach,US,2022-03-30 01:34:18,30.2947,-81.3931,68.23,92,40,9.22
128,Barda,AZ,2022-03-30 01:37:05,40.3744,47.1267,43.12,54,89,2.55
129,Likasi,CD,2022-03-30 01:37:05,-10.9814,26.7333,61.63,100,98,2.24
130,Namibe,AO,2022-03-30 01:37:06,-15.1961,12.1522,67.96,83,89,7.25
